Instruction,Input,Output,Code Style,Score
Generate a program in Python that takes a given dictionary and finds the key with the highest value.,"my_dict = {
    'a': 1,
    'b': 5,
    'c': 3
}","def highest_value(d):
    key, highest_val = None, -float(""inf"")
    for k, val in d.items():
        if val > highest_val:
            key, highest_val = k, val
    return key

highest_key = highest_value(my_dict)
print(highest_key)
",10,5
Create a program in Python to split a string into an array based on a given delimiter.,"String: Hello,World
Delimiter: ,","def split_string(s, delimiter):
    return s.split(delimiter)

string = 'Hello,World'
delimiter = ','

result = split_string(string, delimiter)
print(result)
",8.33,4.16
Write a function in Python that takes an array of integers and its size as parameters and returns the maximum value in the array.,"arr = [1, 6, 8, 4, 9, 6, 10]
n = len(arr)","def find_max(arr, n):
    max_value = arr[0]

    for i in range(1, n):

        if arr[i] > max_value:
            max_value = arr[i]

    return max_value

arr = [1, 6, 8, 4, 9, 6, 10]
n = len(arr)
print(find_max(arr, n))
",7.78,3.89
Generate a function in Python to filter a given list and keep only the numeric items in the list.,"input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8]","def filter_numeric(input_list): 
    
    num_list = [] 
  
    for item in input_list:
        if type(item) == int or type(item) == float: 
            num_list.append(item) 
   
    return num_list 
  
input_list = [4, 2, 1, 15.6, 'p', 'y', 5.8] 
print(filter_numeric(input_list)) 
",8.75,4.43
Create an algorithm to determine if two strings have the same character set in Python.,"Strings: ""paris"" and ""sapir""","def same_charset(str1, str2):
    return sorted(str1) == sorted(str2)

str1 = ""paris""
str2 = ""sapir""
print(same_charset(str1, str2))
",10,5
Create a program in Python to generate 10 random integers.,,"import random

for _ in range(10):
    print(random.randint(0,100))
",10,5
Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,,"def sum_difference(n):
    sumofsquares = 0
    squareofsum = 0
    for num in range(1, n+1):
        sumofsquares += num * num
        squareofsum += num
    squareofsum = squareofsum ** 2
    return squareofsum - sumofsquares
",10,5
Write a function in Python that computes the average of all numbers in a given list.,"numbers = [4, 8, 6, 2, 10]","def compute_average(numbers):
    total = 0
    for num in numbers:
        total += num
    return total / len(numbers)

numbers = [4, 8, 6, 2, 10]
average = compute_average(numbers)
print(average)
",8.75,4.34
"Create a Python script to transform a list of strings into a list of integers, each integer representing the length of the corresponding string.","[""Hello"", ""World"", ""Goodbye""]","def string_to_length(list_strings):
    return [len(string) for string in list_strings]

list_strings = [""Hello"", ""World"", ""Goodbye""]
lengths = string_to_length(list_strings)
print(lengths)
",9,4.5
Create an algorithm using Python to find the largest number in a list.,"[8, 5, 10, 3]","def find_largest_number(numbers):
    if not numbers:
        return None

    largest = numbers[0]
    for num in numbers:
        if num > largest:
            largest = num
    return largest

numbers = [8, 5, 10, 3]
largest = find_largest_number(numbers)
print(largest)
",9.27,4.63
Construct a Python class to represent a point in the Cartesian plane.,,"class Point:
    def __init__ (self, x=0, y=0):
        self.x = x
        self.y = y
 
    def __str__ (self):
        return ""({0},{1})"".format(self.x,self.y)
 
    def distance_from_origin (self):
        return ((self.x ** 2) + (self.y ** 2)) ** 0.5
",10,5
Write a Python program to take user input and check if it is a palindrome or not.,racecar,"def isPalindrome(inp):
 inp = inp.lower()
 return inp == inp[::-1]

user_input = input('Enter string: ')
if isPalindrome(user_input):
 print('It\'s a palindrome')
else:
 print('It\'s not a palindrome')
",10,5
Create a program in Python to sort a given unsorted list.,"[5, 4, 1, 8, 9, 2]","def sort_list(lst):
    lst.sort()
    return lst

ar_list = [5, 4, 1, 8, 9, 2]
result = sort_list(ar_list)
print(result)
",10,5
Write a function in Python that counts the number of words in a given sentence.,,"def word_count(sentence):
    count = 0
    for word in sentence.split(' '):
        count += 1
    return count
",10,5
Create a Python program for a count the number of occurrences of each letter in a given string.,,"def count_occurrences(string):
    char_count = {}
    for letter in string:
        if letter in char_count:
            char_count[letter] += 1
        else:
            char_count[letter] = 1
    return char_count

my_string = 'Hello World!'
letter_occurrences = count_occurrences(my_string)
print(letter_occurrences)
",10,5
Compose a Python Code to swap two numbers without using a temporary variable.,,"a = 10
b = 5

a = a ^ b 
b = a ^ b 
a = a ^ b 

print(""a ="", a) 
print(""b ="", b)
",9.27,4.63
Create a Python program to loop through a given list and print each item on a new line.,"my_list = [""apples"", ""oranges"", ""bananas""]","my_list = [""apples"", ""oranges"", ""bananas""]
for item in my_list:
    print(item)
",10,5
Create a function in Python that implements binary search.,"[2, 5, 7, 9, 12, 15], 12","def binary_search(arr, value):
    low = 0
    high = len(arr) - 1

    while low <= high:
        mid = (low + high) // 2
        if arr[mid] < value:
            low = mid + 1
        elif arr[mid] > value:
            high = mid - 1
        else:
            return mid

    return -1

arr = [2, 5, 7, 9, 12, 15]
value = 12
print(binary_search(arr, value))
",8.57,4.28
Write a Python program that prints all prime numbers up to a given number n.,,"def prime_numbers(n):
    for i in range(2, n + 1):
        prime = True
        for j in range(2, i):
            if i % j == 0:
                prime = False
                break

        if prime:
            print(i)

prime_numbers(10)
",10,5
Write a Python program to implement Linear Search for an array of numbers,"arr = [2, 3, 5, 7, 11]
n = 11","def linear_search(arr, n):
    for i in range(len(arr)):
        if arr[i] == n:
            return i
    return -1

arr = [2, 3, 5, 7, 11]
n = 11
index = linear_search(arr, n)
print(index)
",10,5
Create a function in Python to find the longest string in a given list of strings,"[""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]","def find_longest_string(arr):
    longest_string = ''
    for s in arr:
        if len(s) > len(longest_string):
            longest_string = s
    return longest_string

# Example usage
arr = [""Apple"", ""Banana"", ""Orange"", ""Mango"", ""Pineapple""]
result = find_longest_string(arr)
print('Longest string is', result)
",8.89,4.44
Create a function that computes an array of odd numbers within a given range,an integer n,"def odd_numbers(n): 
    odd_numbers = [] 
      
    # looping through each number 
    for i in range(1, n + 1): 
        if i % 2 != 0: 
            odd_numbers.append(i) 
    return odd_numbers
",8.33,4.16
Create a basic Command Line program in Python that takes two parameters and prints the result of their multiplication.,,"import sys

first, second = int(sys.argv[1]), int(sys.argv[2])

print(f""Result of {first} * {second} is: {first * second}"")
",10,5
Implement a search algorithm in Python to look for the value in the list.,"list_tmp = [1, 23, 42, 5, 7, 34, 89]
value = 42","def search(list_tmp, value):
    for index, item in enumerate(list_tmp):
        if item == value:
            return index

    return -1

list_tmp = [1, 23, 42, 5, 7, 34, 89]
value = 42
index = search(list_tmp, value)
print(index)
",10,5
"Design a Python program to read in a list of list of strings, eliminate duplicate entries, sort them and print out the result.","[['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]","def remove_duplicates(list_of_lists):
    result = []
    for item in list_of_lists:
        if item not in result:
            result.append(item)
    result.sort()
    return result

list_of_lists = [['b', 'a', 'd'], ['c', 'a', 'd'], ['a', 'f', 'g']]
print(remove_duplicates(list_of_lists))
",8.89,4.44
Write a function to create the next bigger number by rearranging the digits of a given number.,,"def rearrange_bigger(n):
    nums = list(str(n))
    for i in range(len(nums)-2,-1,-1):
        if nums[i] < nums[i+1]:
            z = nums[i:]
            y = min(filter(lambda x: x > z[0], z))
            z.remove(y)
            z.sort()
            nums[i:] = [y] + z
            return int("""".join(nums))
    return False
",9.09,4.54
"Write a Python code that prints ""Hello World"" if the user inputs ""Y"" and ""Goodbye"" if they input ""N"".",,"user_input = input('Input Y or N: ')

if user_input == 'Y':
    print('Hello World')
elif user_input == 'N':
    print('Goodbye')
",10,5
Design a Python algorithm to parse a list of strings and prints the longest string's length.,"listOfString= [""I"", ""am"", ""so"", ""happy""]","listStrings= [""I"", ""am"", ""so"", ""happy""]
longestStringLen = 0
for string in listStrings:
    if (len(string) > longestStringLen):
        longestStringLen = len(string)

print(longestStringLen)",8.33,4.16
Write a Python program that takes in three numbers as input and determines which number is the maximum.,,"def max_number(a,b,c):
  max = a
  if b > max:
    max = b
  if c > max:
    max = c
  return max

print(max_number(1,5,3))",9.27,4.63
Write a Python program to create a function that receives a list of strings and returns a new list with the strings sorted according to their length.,"[""Python"", ""is"", ""a"", ""programming"", ""language""]","def sort_list_by_length(list_of_strings):
    return sorted(list_of_strings, key=len)

list_of_strings = [""Python"", ""is"", ""a"", ""programming"", ""language""]
sorted_list = sort_list_by_length(list_of_strings)

print(sorted_list)
",9,4.5
"def sort_list_by_length(list_of_strings):
    return sorted(list_of_strings, key=len) 

list_of_strings = [""Python"", ""is"", ""a"", ""programming"", ""language""]
sorted_list = sort_list_by_length(list_of_strings) 

print(sorted_list)","Array 1: [3, 5, 2, 8, 1], Array 2: [5, 8, 9, 7]","def intersection(array_1, array_2):
    result = []
    for num in array_1:
        if num in array_2:
            result.append(num)
    return result

array_1 = [3, 5, 2, 8, 1]
array_2 = [5, 8, 9, 7]
print(intersection(array_1, array_2))  # Outputs: [5, 8]
",7.78,3.89
Generate a Python function that takes an array of elements and finds the frequency of each element,"[1,4,1,4,4,4,9,7]","def count_frequency(l):
    frequencies = {}
    for i in l:
        if i in frequencies:
            frequencies[i] += 1
        else:
            frequencies[i] = 1
    return frequencies

l = [1,4,1,4,4,4,9,7]
print(count_frequency(l))
",9.29,4.64
Write a function in Python to get the number of occurrences of a particular character in a given sentence.,"sentence = ""Hello world!""
character = 'l'","def count_occurrences(sentence, character):
    return sentence.count(character)

sentence = ""Hello world!""
character = 'l'
print(count_occurrences(sentence, character))  # Outputs: 3
",10,5
Design a function in Python for filtering out unique elements in a list.,"list = [1, 2, 2, 3, 3, 4]","def filter_list(lst):
    seen = set()
    filtered_list = []
    
    for item in lst:
        if item not in seen:
            seen.add(item)
            filtered_list.append(item)
    
    return filtered_list

my_list = [1, 2, 2, 3, 3, 4]
filtered_list = filter_list(my_list)
print(filtered_list)
",9.09,4.54
Implement a function to remove all occurrences of the word 'python' from a given sentence.,"sentence = ""I love learning Python but sometimes it is hard to understand""","def remove_word(sentence, word):
    words = sentence.split()
    new_words = [w for w in words if w != word]
    return ' '.join(new_words)

sentence = ""I love learning Python but sometimes it is hard to understand""
new_sentence = remove_word(sentence, 'Python')
print(new_sentence)
",8.57,4.28
Write a function in Python for sorting a list of objects by an attribute 'name'.,"list_of_objects = [{""name"": ""John"", ""age"": 35}, {""name"": ""Liz"", ""age"": 25}, {""name"": ""Max"", ""age"": 28}]","def sort_by_name(lst):
    return sorted(lst, key=lambda item: item[""name""])

list_of_objects = [{""name"": ""John"", ""age"": 35}, {""name"": ""Liz"", ""age"": 25}, {""name"": ""Max"", ""age"": 28}]
sorted_list = sort_by_name(list_of_objects)
print(sorted_list)
",10,5
Write a Python program to solve a quadratic equation.,"a = 1
b = -5
c = 6","import math
a = 1
b = - 5
c = 6

d = (b**2) - (4*a*c)
 
# find two solutions
sol1 = (-b-math.sqrt(d))/(2*a)
sol2 = (-b+math.sqrt(d))/(2*a)
 
print('The solution are {0} and {1}'.format(sol1,sol2))
",9.57,4.78
Find the most efficient Python code to print all the divisors of an input number.,input = 28,"def print_divisors(input):

    for i in range(1, input + 1):
        if input % i == 0:
            print (i)

input = 28

print_divisors(input)
",10,5
Write a correct Python program to extract all words from a given sentence which have 4 or more characters.,"my_sentence = ""This is an example sentence""","def words_with_four_or_more_characters(my_sentence):
    words = my_sentence.split("" "")
    four_plus_words = []
    for word in words:
        if len(word) >= 4:
            four_plus_words.append(word)
    return four_plus_words

my_sentence = ""This is an example sentence""
result = words_with_four_or_more_characters(my_sentence)
print(result)
",9,4.5
Write a function to calculate the sum of the positive numbers of a given list of numbers using lambda function.,,"def sum_positivenum(nums):
    positive_nums = list(filter(lambda x: x > 0, nums))
    return sum(positive_nums)

nums = [1, -2, 3, -4, 5]
result = sum_positivenum(nums)
print(result)
",8.33,4.16
"Given a list of numbers, write a Python program to calculate the median.","[3, 4, 5, 9, 12, 15]","def median(nums):
    nums.sort()
    n = len(nums)
    if n % 2 == 0:
        return (nums[n//2] + nums[(n//2) - 1]) / 2
    return nums[n//2]

nums = [3, 4, 5, 9, 12, 15]
print(median(nums))",10,5
Create a Python program that takes two strings as input and creates a new string with the characters in the second string that are not present in the first string.,"jello','hello'","def difference(string1, string2):
    new_string = ''
    for char in string2:
        if char not in string1:
            new_string += char
    return new_string

string1 = 'jello'
string2 = 'hello'
print(difference(string1, string2))
",8.78,4.39
You are given the following string. Write a Python program to print how many times each word appears in the string.,"input_string = ""This is an exmaple of a string.""","def count_words(input_string):
    words_count = {}
    words = input_string.split()
    for word in words:
        if word in words_count:
            words_count[word] += 1
        else:
            words_count[word] = 1
    return words_count

input_string = ""This is an example of a string.""
words_count = count_words(input_string)
print(words_count)
",9.18,4.59
Create a recursive function in Python to calculate the factorial of the following number:,7,"def factorial(x):
    if x == 0:
        return 1
    else:
        return x * factorial(x-1)

x = 7

factorial_of_x = factorial(x)
print(""The factorial of {} is {}"".format(x, factorial_of_x))
",10,5
"Generate a function in Python which takes an array as an argument and returns an array of length two, with the first element being the maximum value and the second element being the minimum value of the array.","[1, 5, 7, 3, 9]","def minmax(array):
    max_val = max(array)
    min_val = min(array)
    return [max_val, min_val]

array = [1, 5, 7, 3, 9]
result = minmax(array)
print(result)
",9.19,4.59
Create a function in Python that takes two dates as parameters and calculates the number of days between them.,,"def date_difference(date1, date2):
    diff = date2 - date1
    return diff.days",10,5
Generate a Python program using a list comprehension that takes a 2D list of integers and computes the sum of integers at each row.,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","total_row_sum = [sum(row) for row in [[1, 2, 3], [4, 5, 6], [7, 8, 9]]]

print(total_row_sum)",10,5
Construct a python program to check if two given strings are anagrams.,"String1: army
String2: mary","def isAnagram(str1, str2):
    str1 = str1.lower()
    str2 = str2.lower()

    n1 = len(str1)
    n2 = len(str2)
    
    if n1 != n2:
        return False
    
    str1_sorted = ''.join(sorted(str1))
    str2_sorted = ''.join(sorted(str2))
    
    for i in range(n1):
        if str1_sorted[i] != str2_sorted[i]:
            return False
    
    return True

string1 = ""army""
string2 = ""mary""
result = isAnagram(string1, string2)
print(result)
",10,5
Create a python program to reverse an integer.,x = 123,"def reverse_int(x):
    reversed_int = int(str(x)[::-1])
    return reversed_int

x = 123
reversed_int = reverse_int(x)
print(reversed_int)
",9.89,4.94
"Create a Python script to generate a random password of length 8, containing a mix of upper and lower case letters, and numbers",,"import string
import random

def generate_password(length):
    charPool = string.ascii_letters + string.digits
    password = ''.join(random.sample(charPool, length))
    return password

password = generate_password(8)
print(password)
",8.75,4.37
Develop a Python function to determine the greatest common divisor of two integers.,"a = 28 
b = 15","def gcd(a, b): 
    if b == 0:
        return a
    return gcd(b, a % b)

def main():
    a = 28 
    b = 15 
    print(gcd(a, b)) 

if __name__ == ""__main__"": 
    main()
",10,5
Develop an algorithm in Python to print an array in reverse order.,"[1, 2, 3, 4, 5]","def reverse_array(arr):
    return arr[::-1]

arr = [1, 2, 3, 4, 5]
print(reverse_array(arr))",8.5,4.25
Design a function to traverse a binary tree in a breadth-first manner.,,"def breadth_first_traversal(root): 
    if root is None: 
        return

    queue = [] 
    queue.append(root) 

    while len(queue) > 0: 
        node = queue.pop(0)
        print(node.val, end=' ') 

        if node.left is not None: 
            queue.append(node.left) 

        if node.right is not None: 
            queue.append(node.right)

class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

if __name__ == ""__main__"":
    root = TreeNode(1)
    root.left = TreeNode(2)
    root.right = TreeNode(3)
    root.left.left = TreeNode(4)
    root.left.right = TreeNode(5)
    
    print(""Breadth-first traversal:"")
    breadth_first_traversal(root)
",9.2,4.6
Create a Python program that will take a list of numbers and identify if any of the numbers are multiples of three.,"numbers = [2, 7, 8, 15, 24]","numbers = [2, 7, 8, 15, 24]

for number in numbers:
    if number % 3 == 0:
        print(f'{number} is a multiple of 3')
    else:
        print(f'{number} is not a multiple of 3')
",10,5
Design a Python program for verifying the two strings are rotations of each other?,"s1 = ""Hello World""
s2 = ""World Hello""","def check_rotation(str1, str2):
    if len(str1) != len(str2):
        return False
    
    temp = str1 + str1
    return str2 in temp

s1 = ""Hello World""
s2 = ""World Hello""
if check_rotation(s1, s2):
    print('These strings are rotations of each other')
else:
    print('These strings are not rotations of each other')
",9.39,4.69
Write a python script to remove all punctuations and whitespace in a string,"string = ""Hello, how are you! I'm doing great.""","def remove_punc_and_whitespace(string):
    punctuation = "" ,;:-!?.""
    return ''.join([x for x in string if x not in punctuation])

input_string = ""Hello, how are you! I'm doing great.""
output_string = remove_punc_and_whitespace(input_string)
print(output_string)
",10,5
Implement a function in Python that takes two integers as input and returns the larger one.,,"def larger_of_two(num1, num2):
    if num1 > num2:
        return num1
    else:
        return num2
",8.89,4.44
"Create a Python script that prints numbers from 1 to 10, one number per line with a delay of 1 second.",,"import time

for i in range(1, 11):
    print(i)
    time.sleep(1)
",10,5
Create a program in Python that takes a list of strings and returns a new list with each string reversed.,"[""Hello"", ""World""]","def reverse_list(strings):
    return [s[::-1] for s in strings]

strings = [""Hello"", ""World""]
print(reverse_list(strings))
",9.09,4.54
Write a Python program to generate a random name from a set of given names.,"['John', 'Andy', 'Alex', 'Paul', 'Pippa']","import random

names = [""John"", ""Andy"", ""Alex"", ""Paul"", ""Pippa""]

def getRandomName(names):
    randomIndex = random.randint(0, len(names)-1) 
    return names[randomIndex]

if __name__ == '__main__':
    print(getRandomName(names))
",9.57,4.78
Write a python function to find the index of an extra element present in one sorted array.,,"def find_Extra(arr1,arr2,n) : 
    for i in range(0, n) : 
        if (arr1[i] != arr2[i]) : 
            return i 
    return n ",10,5
Create a program in Python to check for duplicate words in a given sentence.,,"sentence = ""I am going to the store to buy food""

words = sentence.split(' ')

# Table to keep track of duplicates
table = []

for word in words:
    if word in table:
        print(""Duplicate word found: "" + word)
    else:
        table.append(word)
",10,5
Create a Python script that converts temperatures from Celsius to Fahrenheit.,23,"def celsius_to_fahrenheit(celsius):
    return ((celsius * 9/5 ) + 32)

temperature = 23
fahrenheit = celsius_to_fahrenheit(temperature)
print('The temperature in Fahrenheit is: ' + str(fahrenheit))
",9.57,4.78
Write a function in Python which takes a list of numbers as input and outputs a list with each element multiplied by two.,"[3, 5, 8, 9]","def list_multiplication(nums):
    output_list = []
    for i in range(len(nums)):
        output_list.append(nums[i] * 2)
    return output_list

nums = [3, 5, 8, 9]
result = list_multiplication(nums)
print(result)
",9,4.5
Write a python program to detect whether a given string is a palindrome or not.,,"def isPalindrome(string): 
    left, right = 0, len(string)-1
    while right >= left: 
        if not string[left] == string[right]: 
            return False
        left += 1
        right -= 1
    return True",10,5
write a python code to print the common elements in between two given sets.,"set1 = {1, 2, 3, 4, 5, 6, 7}
set2 = {2, 4, 5, 6}","def common_elements(set1, set2): 
    return set1 & set2

print(common_elements({1,2,3,4,5,6,7}, {2,4,5,6}))",10,5
Write a python program to find the sum of squares of all numbers in a set,"Set: {1, 2, 3}","def sum_squares(s):
    total = 0
    for x in s:
        total += x * x
    return total

set1 = {1, 2, 3}
result = sum_squares(set1)
print(result)
",10,5
Write a python function to set the left most unset bit.,,"def set_left_most_unset_bit(n): 
    if not (n & (n + 1)): 
        return n 
    pos, temp, count = 0, n, 0 
    while temp: 
        if not (temp & 1): 
            pos = count      
        count += 1 
        temp>>=1
    return (n | (1 << (pos))) 
",9,4.5
Create a loop in Python that prints out a list of numbers from 1 to 10 multiplied by 3.,,"for i in range(1, 11):
    print(i * 3)",10,5
Write a Python program to calculate the area of a triangle given three side lengths.,,"def area_of_triangle(a, b, c):
    # calculate the semi-perimeter
    s = (a + b + c) / 2
    # calculate the area
    area = (s * (s-a) * (s-b) * (s-c)) ** 0.5
    return area",10,5
Create a python script to concatenate two given strings.,"string1 = ""Hello ""
string2 = ""World!""","def concatenateStrings(string1, string2):
    return string1 + string2

string1 = ""Hello ""
string2 = ""World!""
result = concatenateStrings(string1, string2)
print(result)
",8.89,4.44
Write a function to count occurrence of a character in a string.,,"def count_char(string, char):
    count = 0
    for i in range(len(string)):
        if string[i] == char:
            count += 1
    return count

string = ""hello""
char = ""l""
result = count_char(string, char)
print(f""The character '{char}' appears {result} times in '{string}'."")  # Output: The character 'l' appears 2 times in 'hello'.
",9,4.5
"Write a Python function to take a text string as an input, and generate a table of the frequencies of each letter in the string.","sample_string = ""HelloWorld""","def find_frequencies(sample_string):
    frequency_table = dict()
    for char in sample_string:
        if char in frequency_table:
            frequency_table[char] += 1
        else:
            frequency_table[char] = 1
    return frequency_table

sample_string = ""HelloWorld""
result = find_frequencies(sample_string)
print(result)
",9.25,4.62
